entity,code,year,illiteracy_rate,literacy_rate
Portugal,PRT,1911,68.9,31.1
Portugal,PRT,1920,65.2,34.8
Portugal,PRT,1930,60.2,39.8
Portugal,PRT,1940,50.4,49.6
Portugal,PRT,1950,42.5,57.5
Portugal,PRT,1981,21.0,79.0
Portugal,PRT,1991,12.0,88.0
Portugal,PRT,2011,6.0,94.0
Puerto Rico,PRI,1950,27.5,72.5
Puerto Rico,PRI,1980,13.0,87.0
Puerto Rico,PRI,1990,10.0,90.0
Puerto Rico,PRI,2010,8.0,92.0
Puerto Rico,PRI,2017,8.0,92.0
Qatar,QAT,1950,92.5,7.5
Qatar,QAT,1986,24.0,76.0
Qatar,QAT,1997,17.0,83.0
Qatar,QAT,2004,11.0,89.0
Qatar,QAT,2007,7.0,93.0
Qatar,QAT,2008,6.0,94.0
Qatar,QAT,2009,5.0,95.0
Qatar,QAT,2010,4.0,96.0
Qatar,QAT,2011,4.0,96.0
Qatar,QAT,2012,3.0,97.0
Qatar,QAT,2013,3.0,97.0
Qatar,QAT,2014,2.0,98.0
Reunion,REU,1950,62.5,37.5
Reunion,REU,1982,21.0,79.0
Romania,ROU,1950,22.5,77.5
Romania,ROU,1992,3.0,97.0
Romania,ROU,2002,3.0,97.0
Romania,ROU,2011,1.0,99.0
Romania,ROU,2021,1.0,99.0
Russia,RUS,1989,2.0,98.0
Russia,RUS,2002,1.0,99.0
Russia,RUS,2010,0.0,100.0
Russia,RUS,2021,0.0,100.0
Rwanda,RWA,1950,92.5,7.5
Rwanda,RWA,1978,62.0,38.0
Rwanda,RWA,1991,42.0,58.0
Rwanda,RWA,2000,35.0,65.0
Rwanda,RWA,2012,32.0,68.0
Rwanda,RWA,2014,29.0,71.0
Rwanda,RWA,2018,27.0,73.0
Rwanda,RWA,2020,19.949142,80.05086
Rwanda,RWA,2022,21.0,79.0
Saint Helena,SHN,1950,1.5,98.5
Saint Helena,SHN,1998,3.0,97.0
Saint Pierre and Miquelon,SPM,1950,7.5,92.5
Saint Pierre and Miquelon,SPM,1982,1.0,99.0
Saint Vincent and the Grenadines,VCT,1970,4.0,96.0
Samoa,WSM,1950,12.5,87.5
Samoa,WSM,1991,2.0,98.0
Samoa,WSM,2011,1.0,99.0
Samoa,WSM,2016,1.0,99.0
Samoa,WSM,2019,2.0097427,97.99026
San Marino,SMR,1950,12.5,87.5
San Marino,SMR,2022,0.0,100.0
Sao Tome and Principe,STP,1950,82.5,17.5
Sao Tome and Principe,STP,1981,43.0,57.0
Sao Tome and Principe,STP,1991,27.0,73.0
Sao Tome and Principe,STP,2001,15.0,85.0
Sao Tome and Principe,STP,2012,10.0,90.0
Sao Tome and Principe,STP,2019,12.561539,87.43846
Saudi Arabia,SAU,1950,97.0,3.0
Saudi Arabia,SAU,1992,29.0,71.0
Saudi Arabia,SAU,2000,21.0,79.0
Saudi Arabia,SAU,2004,17.0,83.0
Saudi Arabia,SAU,2013,6.0,94.0
Saudi Arabia,SAU,2017,5.0,95.0
Saudi Arabia,SAU,2020,2.0,98.0
Senegal,SEN,1950,97.0,3.0
Senegal,SEN,1988,73.0,27.0
Senegal,SEN,2002,61.0,39.0
Senegal,SEN,2006,58.0,42.0
Senegal,SEN,2009,52.0,48.0
Senegal,SEN,2011,48.0,52.0
Senegal,SEN,2013,56.0,44.0
Senegal,SEN,2015,56.40727,43.59273
Senegal,SEN,2016,53.90036,46.09964
Senegal,SEN,2017,48.0,52.0
Senegal,SEN,2018,53.39409,46.60591
Senegal,SEN,2019,53.16633,46.83367
Senegal,SEN,2023,49.64418,50.35582
Serbia,SRB,2003,4.0,96.0
Serbia,SRB,2011,2.0,98.0
Serbia,SRB,2016,1.0,99.0
Serbia,SRB,2019,1.0,99.0
Seychelles,SYC,1950,62.5,37.5
Seychelles,SYC,1987,16.0,84.0
Seychelles,SYC,1994,12.0,88.0
Seychelles,SYC,2002,8.0,92.0
Seychelles,SYC,2010,6.0,94.0
Sierra Leone,SLE,1950,92.5,7.5
Sierra Leone,SLE,2004,65.0,35.0
Sierra Leone,SLE,2017,55.16682,44.83318
Sierra Leone,SLE,2019,56.42222,43.57778
Singapore,SGP,1950,52.5,47.5
Singapore,SGP,1980,17.0,83.0
Singapore,SGP,1990,11.0,89.0
Singapore,SGP,2000,7.0,93.0
Singapore,SGP,2010,4.0,96.0
Singapore,SGP,2011,4.0,96.0
Singapore,SGP,2012,4.0,96.0
Singapore,SGP,2013,3.0,97.0
Singapore,SGP,2014,3.0,97.0
Singapore,SGP,2015,3.0,97.0
Singapore,SGP,2016,3.0,97.0
Singapore,SGP,2017,3.0,97.0
Singapore,SGP,2018,3.0,97.0
Singapore,SGP,2019,3.0,97.0
Singapore,SGP,2020,3.0,97.0
Singapore,SGP,2021,2.0,98.0
Slovenia,SVN,1991,0.0,100.0
Solomon Islands,SLB,1950,92.5,7.5
Solomon Islands,SLB,1999,23.0,77.0
Somalia,SOM,2022,46.0,54.0
Somaliland,OWID_SML,1950,97.0,3.0
South Africa,ZAF,1950,57.5,42.5
South Africa,ZAF,1980,24.0,76.0
South Africa,ZAF,1996,18.0,82.0
South Africa,ZAF,2007,11.0,89.0
South Africa,ZAF,2009,7.0,93.0
South Africa,ZAF,2010,7.0,93.0
South Africa,ZAF,2011,7.0,93.0
South Africa,ZAF,2012,6.0,94.0
South Africa,ZAF,2014,6.0,94.0
South Africa,ZAF,2015,6.0,94.0
South Africa,ZAF,2016,8.262756,91.73724
South Africa,ZAF,2017,13.0,87.0
South Africa,ZAF,2019,5.0,95.0
South Africa,ZAF,2021,10.0,90.0
South Korea,KOR,1950,62.5,37.5
South Korea,KOR,2008,2.0,98.0
South Sudan,SSD,2008,73.0,27.0
Spain,ESP,1475,97.0,3.0
Spain,ESP,1550,96.0,4.0
Spain,ESP,1650,95.0,5.0
Spain,ESP,1750,92.0,8.0
Spain,ESP,1900,58.7,41.3
Spain,ESP,1910,52.2,47.8
Spain,ESP,1920,44.0,56.0
Spain,ESP,1940,23.2,76.8
Spain,ESP,1950,17.5,82.5
Spain,ESP,1981,7.0,93.0
Spain,ESP,1991,4.0,96.0
Spain,ESP,2004,3.0,97.0
Spain,ESP,2005,2.0,98.0
Spain,ESP,2006,2.0,98.0
Spain,ESP,2007,2.0,98.0
Spain,ESP,2008,2.0,98.0
Spain,ESP,2009,2.0,98.0
Spain,ESP,2010,2.0,98.0
Spain,ESP,2011,2.0,98.0
Spain,ESP,2012,2.0,98.0
Spain,ESP,2013,2.0,98.0
Spain,ESP,2014,2.0,98.0
Spain,ESP,2015,2.0,98.0
Spain,ESP,2016,2.0,98.0
Spain,ESP,2018,2.0,98.0
Spain,ESP,2020,1.0,99.0
Spain,ESP,2021,0.0,100.0
Sri Lanka,LKA,1901,73.6,26.4
Sri Lanka,LKA,1911,69.0,31.0
Sri Lanka,LKA,1921,60.1,39.9
Sri Lanka,LKA,1946,42.2,57.8
Sri Lanka,LKA,1950,37.5,62.5
Sri Lanka,LKA,1981,13.0,87.0
Sri Lanka,LKA,2001,9.0,91.0
Sri Lanka,LKA,2006,9.0,91.0
Sri Lanka,LKA,2008,9.0,91.0
Sri Lanka,LKA,2010,9.0,91.0
Sri Lanka,LKA,2016,8.0,92.0
Sri Lanka,LKA,2017,8.0,92.0
Sri Lanka,LKA,2018,8.0,92.0
Sri Lanka,LKA,2019,8.0,92.0
Sri Lanka,LKA,2020,8.0,92.0
Sri Lanka,LKA,2021,8.0,92.0
Sri Lanka,LKA,2022,8.0,92.0
Sri Lanka,LKA,2023,7.0,93.0
Sudan,SDN,1950,92.5,7.5
Sudan,SDN,2000,39.0,61.0
Sudan,SDN,2008,46.0,54.0
Suriname,SUR,1950,27.5,72.5
Suriname,SUR,2004,10.0,90.0
Suriname,SUR,2008,5.0,95.0
Suriname,SUR,2010,5.0,95.0
Suriname,SUR,2012,7.0,93.0
Sweden,SWE,1475,99.0,1.0
Sweden,SWE,1550,99.0,1.0
Sweden,SWE,1650,77.0,23.0
Sweden,SWE,1750,52.0,48.0
Sweden,SWE,1950,1.5,98.5
Switzerland,CHE,1950,1.5,98.5
Syria,SYR,1950,72.5,27.5
Syria,SYR,1981,44.0,56.0
Syria,SYR,2002,17.0,83.0
Syria,SYR,2004,19.0,81.0
Syria,SYR,2021,6.0,94.0
Tajikistan,TJK,1989,2.0,98.0
Tajikistan,TJK,2000,1.0,99.0
Tanzania,TZA,1950,92.5,7.5
Tanzania,TZA,1988,41.0,59.0
Tanzania,TZA,2002,31.0,69.0
Tanzania,TZA,2012,22.0,78.0
Tanzania,TZA,2015,22.0,78.0
Thailand,THA,1950,47.5,52.5
Thailand,THA,1980,12.0,88.0
Thailand,THA,2000,7.0,93.0
Thailand,THA,2005,6.0,94.0
Thailand,THA,2010,4.0,96.0
Thailand,THA,2013,6.0,94.0
Thailand,THA,2015,7.0,93.0
Thailand,THA,2016,8.0186,91.9814
Thailand,THA,2018,6.0,94.0
Thailand,THA,2019,8.73085,91.26915
Thailand,THA,2022,8.900131,91.09987
Togo,TGO,1950,92.5,7.5
Togo,TGO,2000,47.0,53.0
Togo,TGO,2006,43.0,57.0
Togo,TGO,2009,43.0,57.0
Togo,TGO,2011,40.0,60.0
Togo,TGO,2015,36.0,64.0
Togo,TGO,2019,33.0,67.0
Togo,TGO,2022,27.404114,72.59589
Tokelau,TKL,1950,4.0,96.0
Tonga,TON,1950,7.5,92.5
Tonga,TON,1976,0.0,100.0
Tonga,TON,1996,1.0,99.0
Tonga,TON,2006,1.0,99.0
Tonga,TON,2011,1.0,99.0
Tonga,TON,2016,3.0,97.0
Tonga,TON,2019,8.9483795,91.05162
Trinidad and Tobago,TTO,1950,22.5,77.5
Trinidad and Tobago,TTO,1980,5.0,95.0
Trinidad and Tobago,TTO,1990,3.0,97.0
Tunisia,TUN,1950,82.5,17.5
Tunisia,TUN,1984,52.0,48.0
Tunisia,TUN,2004,26.0,74.0
Tunisia,TUN,2007,23.0,77.0
Tunisia,TUN,2008,22.0,78.0
Tunisia,TUN,2010,21.0,79.0
Tunisia,TUN,2011,20.0,80.0
Tunisia,TUN,2012,20.0,80.0
Tunisia,TUN,2014,21.0,79.0
Tunisia,TUN,2018,20.524887,79.47511
Tunisia,TUN,2019,19.0,81.0
Tunisia,TUN,2021,16.317368,83.68263
Tunisia,TUN,2023,13.753181,86.24682
Turkey,TUR,1927,91.8,8.2
Turkey,TUR,1935,79.6,20.4
Turkey,TUR,1945,69.5,30.5
Turkey,TUR,1950,67.5,32.5
Turkey,TUR,1975,38.0,62.0
Turkey,TUR,1980,34.0,66.0
Turkey,TUR,1985,24.0,76.0
Turkey,TUR,1990,21.0,79.0
Turkey,TUR,2004,13.0,87.0
Turkey,TUR,2005,12.0,88.0
Turkey,TUR,2006,12.0,88.0
Turkey,TUR,2007,11.0,89.0
Turkey,TUR,2009,9.0,91.0
Turkey,TUR,2010,7.0,93.0
Turkey,TUR,2011,6.0,94.0
Turkey,TUR,2012,5.0,95.0
Turkey,TUR,2013,5.0,95.0
Turkey,TUR,2014,5.0,95.0
Turkey,TUR,2015,4.0,96.0
Turkey,TUR,2016,4.0,96.0
Turkey,TUR,2017,4.0,96.0
Turkey,TUR,2019,3.0,97.0
Turkey,TUR,2021,3.0,97.0
Turkmenistan,TKM,1995,1.0,99.0
USSR,OWID_USS,1950,7.5,92.5
Uganda,UGA,1950,72.5,27.5
Uganda,UGA,1991,44.0,56.0
Uganda,UGA,2002,32.0,68.0
Uganda,UGA,2006,29.0,71.0
Uganda,UGA,2010,27.0,73.0
Uganda,UGA,2012,30.0,70.0
Uganda,UGA,2016,30.898682,69.10132
Ukraine,UKR,2001,1.0,99.0
United Arab Emirates,ARE,1975,46.0,54.0
United Arab Emirates,ARE,1985,29.0,71.0
United Arab Emirates,ARE,2005,10.0,90.0
United Arab Emirates,ARE,2019,2.0,98.0
United Arab Emirates,ARE,2021,2.0,98.0
United Arab Emirates,ARE,2022,2.0,98.0
United Arab Emirates,ARE,2023,2.0,98.0
United Kingdom,GBR,1475,95.0,5.0
United Kingdom,GBR,1550,84.0,16.0
United Kingdom,GBR,1650,47.0,53.0
United Kingdom,GBR,1750,46.0,54.0
United Kingdom,GBR,1950,1.5,98.5
United States,USA,1900,10.7,89.3
United States,USA,1910,7.7,92.3
United States,USA,1920,6.0,94.0
United States,USA,1930,4.3,95.7
United States,USA,1940,2.9,97.1
United States,USA,1950,3.5,96.5
United States Virgin Islands,VIR,1950,12.5,87.5
Uruguay,URY,1950,17.5,82.5
Uruguay,URY,1975,6.0,94.0
Uruguay,URY,1985,5.0,95.0
Uruguay,URY,1996,3.0,97.0
Uruguay,URY,2006,2.0,98.0
Uruguay,URY,2007,2.0,98.0
Uruguay,URY,2008,2.0,98.0
Uruguay,URY,2009,2.0,98.0
Uruguay,URY,2010,2.0,98.0
Uruguay,URY,2011,2.0,98.0
Uruguay,URY,2012,2.0,98.0
Uruguay,URY,2013,2.0,98.0
Uruguay,URY,2014,2.0,98.0
Uruguay,URY,2015,1.0,99.0
Uruguay,URY,2016,1.0,99.0
Uruguay,URY,2017,1.0,99.0
Uruguay,URY,2018,1.0,99.0
Uruguay,URY,2019,1.0,99.0
Uruguay,URY,2022,1.0,99.0
Uzbekistan,UZB,2000,1.0,99.0
Uzbekistan,UZB,2013,0.0,100.0
Uzbekistan,UZB,2014,0.0,100.0
Uzbekistan,UZB,2015,0.0,100.0
Uzbekistan,UZB,2016,0.0,100.0
Uzbekistan,UZB,2018,0.0,100.0
Uzbekistan,UZB,2019,0.0,100.0
Uzbekistan,UZB,2021,0.0,100.0
Uzbekistan,UZB,2022,0.0,100.0
Vanuatu,VUT,1950,67.5,32.5
Vanuatu,VUT,1979,47.0,53.0
Vanuatu,VUT,1999,26.0,74.0
Vanuatu,VUT,2023,12.0396805,87.96032
Venezuela,VEN,1950,47.5,52.5
Venezuela,VEN,1981,15.0,85.0
Venezuela,VEN,1990,10.0,90.0
Venezuela,VEN,2001,7.0,93.0
Venezuela,VEN,2007,5.0,95.0
Venezuela,VEN,2009,4.0,96.0
Venezuela,VEN,2011,5.0,95.0
Venezuela,VEN,2015,3.0,97.0
Venezuela,VEN,2016,3.0,97.0
Vietnam,VNM,1950,82.5,17.5
Vietnam,VNM,1979,16.0,84.0
Vietnam,VNM,1989,12.0,88.0
Vietnam,VNM,1999,10.0,90.0
Vietnam,VNM,2000,10.0,90.0
Vietnam,VNM,2009,6.0,94.0
Vietnam,VNM,2019,4.0,96.0
Vietnam,VNM,2022,4.0,96.0
World,OWID_WRL,1820,87.95331,12.046689
World,OWID_WRL,1870,81.259445,18.740555
World,OWID_WRL,1880,80.371544,19.628456
World,OWID_WRL,1890,79.48364,20.516357
World,OWID_WRL,1900,78.59574,21.404259
World,OWID_WRL,1910,73.5544,26.445602
World,OWID_WRL,1920,68.37684,31.623163
World,OWID_WRL,1930,67.47237,32.52763
World,OWID_WRL,1940,58.120777,41.879223
World,OWID_WRL,1950,64.04062,35.959377
World,OWID_WRL,1960,58.379623,41.620377
World,OWID_WRL,1976,34.341057,65.65894
World,OWID_WRL,1977,34.050743,65.94926
World,OWID_WRL,1978,33.427788,66.57221
World,OWID_WRL,1979,32.766098,67.2339
World,OWID_WRL,1980,32.152298,67.8477
World,OWID_WRL,1981,31.549332,68.45067
World,OWID_WRL,1982,30.957718,69.04228
World,OWID_WRL,1983,30.388542,69.61146
World,OWID_WRL,1984,29.7275,70.2725
World,OWID_WRL,1985,29.135513,70.86449
World,OWID_WRL,1986,28.583832,71.41617
World,OWID_WRL,1987,27.890457,72.10954
World,OWID_WRL,1988,26.175812,73.82419
World,OWID_WRL,1989,25.653069,74.34693
World,OWID_WRL,1990,25.09298,74.90702
World,OWID_WRL,1991,24.713493,75.28651
World,OWID_WRL,1992,24.30568,75.69432
World,OWID_WRL,1993,23.897552,76.10245
World,OWID_WRL,1994,23.498528,76.50147
World,OWID_WRL,1995,23.08815,76.91185
World,OWID_WRL,1996,22.703682,77.29632
World,OWID_WRL,1997,20.711563,79.28844
World,OWID_WRL,1998,19.531303,80.4687
World,OWID_WRL,1999,19.194,80.806
World,OWID_WRL,2000,19.020767,80.97923
World,OWID_WRL,2001,18.71399,81.28601
World,OWID_WRL,2002,18.35981,81.64019
World,OWID_WRL,2003,17.885712,82.11429
World,OWID_WRL,2004,17.55272,82.44728
World,OWID_WRL,2005,17.545242,82.45476
World,OWID_WRL,2006,17.574707,82.42529
World,OWID_WRL,2007,16.988152,83.01185
World,OWID_WRL,2008,16.614449,83.38555
World,OWID_WRL,2009,16.391289,83.60871
World,OWID_WRL,2010,15.772797,84.2272
World,OWID_WRL,2011,15.58918,84.41082
World,OWID_WRL,2012,15.398582,84.60142
World,OWID_WRL,2013,15.09687,84.90313
World,OWID_WRL,2014,14.713577,85.28642
World,OWID_WRL,2015,14.321091,85.67891
World,OWID_WRL,2016,13.999863,86.00014
World,OWID_WRL,2017,13.822968,86.17703
World,OWID_WRL,2018,13.562492,86.43751
World,OWID_WRL,2019,13.452057,86.54794
World,OWID_WRL,2020,13.252518,86.74748
World,OWID_WRL,2021,13.072456,86.92754
World,OWID_WRL,2022,12.844643,87.15536
World,OWID_WRL,2023,12.643967,87.35603
Yemen,YEM,1950,97.0,3.0
Yemen,YEM,1994,63.0,37.0
Yugoslavia,OWID_YGS,1931,44.6,55.4
Yugoslavia,OWID_YGS,1948,25.4,74.6
Yugoslavia,OWID_YGS,1950,27.5,72.5
Zambia,ZMB,1950,77.5,22.5
Zambia,ZMB,1990,35.0,65.0
Zambia,ZMB,1999,32.0,68.0
Zambia,ZMB,2002,31.0,69.0
Zambia,ZMB,2010,17.0,83.0
Zambia,ZMB,2018,28.867699,71.1323
Zanzibar,OWID_ZAN,1950,92.5,7.5
Zimbabwe,ZWE,1950,77.5,22.5
Zimbabwe,ZWE,1982,22.0,78.0
Zimbabwe,ZWE,1992,16.0,84.0
Zimbabwe,ZWE,2019,6.7724533,93.22755
